id_ticket,fecha,id_cliente,id_tienda,canal,metodo_pago,campaña,es_campaña,tipo_campaña,cantidad_lineas,unidades_totales,monto_ticket,descuento_promedio_ticket,margen_ticket
T010585,2025-05-01,8916,12,Web,Tarjeta Débito,Día de la Madre,1,Familiar,4,9,2761.48,0.0905,517.63
T010586,2025-04-01,10766,12,App,Tarjeta Crédito,Normal,0,Regular,2,5,138.91,0.0632,38.55
T010587,2025-02-26,6372,12,Web,Tarjeta Débito,Campaña Escolar,1,Escolar,4,15,4215.71,0.0886,680.02
T010588,2024-12-18,610,12,Web,Tarjeta Débito,Navidad,1,Festiva,5,12,5977.28,0.1152,846.95
T010589,2024-11-03,13399,1,Tienda,Tarjeta Crédito,Cyber Wow Noviembre,1,Digital,2,5,5518.8,0.1489,906.16
T010590,2025-06-12,10077,1,Tienda,Tarjeta Débito,Día del Padre,1,Familiar,3,10,4386.31,0.1008,620.18
T010591,2025-06-09,266,12,Web,Yape,Día del Padre,1,Familiar,5,12,4320.58,0.0837,1048.67
T010592,2025-12-05,1984,12,App,Plin,Navidad,1,Festiva,2,7,2022.22,0.1082,432.08
T010593,2024-07-11,9032,1,Tienda,Efectivo,Fiestas Patrias,1,Festiva,1,4,51.29,0.0586,10.41
T010594,2025-11-15,9602,12,App,Transferencia,Normal,0,Regular,2,9,126.82,0.0819,26.78
T010595,2025-05-08,10908,12,Web,Tarjeta Crédito,Día de la Madre,1,Familiar,2,2,692.65,0.0767,159.62
T010596,2025-06-12,845,12,Web,Tarjeta Débito,Día del Padre,1,Familiar,5,22,6387.57,0.0905,1844.63
T010597,2024-11-27,5169,12,Web,,Black Friday,1,Digital,2,3,1509.93,0.1978,241.0
T010598,2025-12-31,13042,12,Web,Transferencia,Navidad,1,Festiva,1,5,136.33,0.1075,42.53
T010599,2024-05-18,2690,12,Web,Tarjeta Crédito,Normal,0,Regular,2,3,1373.44,0.1109,292.19
T010600,2023-07-22,12252,6,Tienda,Efectivo,Fiestas Patrias,1,Festiva,4,6,10137.49,0.1098,1601.8
T010601,2024-06-15,13764,12,App,Tarjeta Débito,Día del Padre,1,Familiar,1,1,1442.91,0.1491,211.03
T010602,2023-09-16,6626,1,Tienda,Tarjeta Crédito,Normal,0,Regular,3,5,1264.15,0.0268,229.89
T010603,2023-08-02,2132,11,Tienda,Tarjeta Débito,Normal,0,Regular,3,5,1083.48,0.0713,265.49
T010604,2025-11-03,4304,12,Web,Tarjeta Débito,Cyber Wow Noviembre,1,Digital,1,1,818.94,0.1905,161.3
T010605,2025-07-01,808,12,App,Tarjeta Débito,Fiestas Patrias,1,Festiva,1,2,31.53,0.1112,7.67
T010606,2025-04-10,6744,8,Tienda,Yape,Normal,0,Regular,1,1,115.02,0.0179,28.22
T010607,2025-02-21,8658,6,Tienda,Efectivo,Campaña Escolar,1,Escolar,5,15,2277.55,0.0654,622.35
T010608,2024-05-06,1513,12,App,Tarjeta Débito,Día de la Madre,1,Familiar,2,7,1280.06,0.1045,341.34
T010609,2025-06-18,11615,3,Tienda,Efectivo,Normal,0,Regular,2,4,145.16,0.056,50.22
T010610,2025-01-03,5105,3,Tienda,Tarjeta Débito,Normal,0,Regular,4,16,1023.74,0.0491,289.73
T010611,2025-12-15,942,6,Tienda,Yape,Navidad,1,Festiva,3,7,4867.84,0.1688,761.04
T010612,2023-05-11,943,2,Tienda,Tarjeta Débito,Día de la Madre,1,Familiar,4,10,1545.91,0.0743,327.33
T010613,2025-04-08,1482,7,Tienda,Efectivo,Normal,0,Regular,4,9,5710.29,0.1855,801.93
T010614,2025-10-01,11619,8,Tienda,Tarjeta Débito,Normal,0,Regular,3,6,175.1,0.0584,50.29
T010615,2025-06-20,1932,12,Web,Tarjeta Débito,Normal,0,Regular,1,1,4838.96,0.0644,1637.86
T010616,2023-05-10,6377,6,Tienda,Efectivo,Día de la Madre,1,Familiar,4,10,15510.31,0.0763,2945.44
T010617,2023-12-28,3503,2,Tienda,Efectivo,Navidad,1,Festiva,2,8,1899.84,0.1104,416.46
T010618,2023-03-01,11462,7,Tienda,Tarjeta Débito,Campaña Escolar,1,Escolar,2,3,379.68,0.073,101.35
T010619,2025-06-10,2726,8,Tienda,Tarjeta Crédito,Día del Padre,1,Familiar,2,4,1515.42,0.0798,406.62
T010620,2024-02-17,14436,8,Tienda,Plin,Campaña Escolar,1,Escolar,4,7,7084.01,0.1089,1755.86
T010621,2025-04-22,7488,12,Web,Tarjeta Débito,Cyber Wow Abril,1,Digital,1,1,1342.92,0.2003,-8.67
T010622,2025-11-04,9093,1,Tienda,Tarjeta Débito,Cyber Wow Noviembre,1,Digital,1,2,52.27,0.1329,13.01
T010623,2024-07-07,3783,2,Tienda,Yape,Fiestas Patrias,1,Festiva,2,2,772.42,0.0822,136.16
T010624,2023-10-01,7001,6,Tienda,Efectivo,Normal,0,Regular,2,4,3090.65,0.0531,563.88
T010625,2024-01-09,500,12,App,Transferencia,Normal,0,Regular,1,1,443.76,0.0558,78.81
T010626,2023-01-20,3734,12,App,Tarjeta Débito,Normal,0,Regular,1,1,391.9,0.0917,46.17
T010627,2024-02-20,3711,1,Tienda,Efectivo,Campaña Escolar,1,Escolar,2,4,642.93,0.1272,175.67
T010628,2025-04-13,9403,12,App,Transferencia,Normal,0,Regular,2,3,263.86,0.0664,78.24
T010629,2024-05-06,4803,3,Tienda,Tarjeta Débito,Día de la Madre,1,Familiar,4,6,3544.72,0.0858,952.74
T010630,2024-12-06,128,7,Tienda,Efectivo,Navidad,1,Festiva,4,17,4522.49,0.0805,889.82
T010631,2023-11-25,7834,3,Tienda,Efectivo,Black Friday,1,Digital,4,5,6760.13,0.1255,1495.52
T010632,2024-04-21,12932,2,Tienda,Tarjeta Débito,Cyber Wow Abril,1,Digital,3,7,6695.97,0.1771,827.17
T010633,2024-12-27,6727,8,Tienda,Tarjeta Crédito,Navidad,1,Festiva,5,14,14310.77,0.1212,2397.81
T010634,2025-07-03,5286,12,Web,Tarjeta Débito,Fiestas Patrias,1,Festiva,3,18,1981.96,0.0954,580.29
T010635,2025-08-14,3898,11,Tienda,Tarjeta Crédito,Normal,0,Regular,1,2,1636.52,0.0221,458.28
T010636,2025-05-14,11250,12,App,Tarjeta Crédito,Normal,0,Regular,3,13,3035.99,0.092,702.4
T010637,2023-04-05,13916,12,Web,Plin,Normal,0,Regular,1,8,313.84,0.0635,69.52
T010638,2024-11-07,5608,12,Web,Yape,Normal,0,Regular,5,14,5404.64,0.0714,1804.84
T010639,2024-11-28,8956,12,Web,Yape,Black Friday,1,Digital,4,17,4338.66,0.2186,49.66
T010640,2024-03-21,646,12,App,Plin,Campaña Escolar,1,Escolar,1,3,65.14,0.0975,9.31
T010641,2025-12-12,5364,5,Tienda,Efectivo,Navidad,1,Festiva,3,8,6420.61,0.1049,1812.38
T010642,2025-08-18,14665,12,Web,Yape,Normal,0,Regular,3,5,982.41,0.1076,190.47
T010643,2025-04-23,472,12,App,Transferencia,Cyber Wow Abril,1,Digital,2,4,8396.77,0.1866,1261.39
T010644,2025-04-21,6853,11,Tienda,Tarjeta Crédito,Cyber Wow Abril,1,Digital,1,2,283.4,0.1157,71.76
T010645,2023-12-12,13689,12,Web,Tarjeta Crédito,Navidad,1,Festiva,3,13,17512.65,0.1041,2610.48
T010646,2023-09-22,9368,2,Tienda,Tarjeta Débito,Normal,0,Regular,6,9,2034.52,0.0461,641.99
T010647,2025-05-18,6247,6,Tienda,Tarjeta Crédito,Normal,0,Regular,4,20,61258.69,0.1281,4898.39
T010648,2025-02-07,4047,12,Web,Tarjeta Crédito,Campaña Escolar,1,Escolar,2,2,1075.85,0.0992,298.49
T010649,2023-12-29,8322,12,Web,Tarjeta Crédito,Navidad,1,Festiva,1,2,6460.06,0.105,1437.38
T010650,2025-05-12,8658,6,Tienda,Efectivo,Día de la Madre,1,Familiar,4,8,1137.95,0.1911,130.94
T010651,2024-05-04,10314,12,App,Tarjeta Débito,Día de la Madre,1,Familiar,6,15,8783.18,0.0949,1873.32
T010652,2023-09-14,11466,12,Web,Tarjeta Débito,Normal,0,Regular,5,9,5691.47,0.0565,943.49
T010653,2024-07-17,14604,8,Tienda,Efectivo,Fiestas Patrias,1,Festiva,1,1,9.36,0.107,1.64
T010654,2025-05-20,11837,2,Tienda,Tarjeta Crédito,Normal,0,Regular,2,3,41.48,0.0396,7.81
T010655,2023-12-13,1188,2,Tienda,Yape,Navidad,1,Festiva,1,3,510.02,0.0561,183.47
T010656,2025-11-25,8406,11,Tienda,Efectivo,Black Friday,1,Digital,4,9,15080.89,0.1722,1709.09
T010657,2024-12-31,13530,12,Web,Yape,Navidad,1,Festiva,2,14,2117.69,0.0904,674.47
T010658,2025-12-13,8502,12,Web,Plin,Navidad,1,Festiva,2,12,1132.17,0.1266,92.45
T010659,2023-07-11,7911,2,Tienda,Plin,Fiestas Patrias,1,Festiva,1,1,5.39,0.1491,0.63
T010660,2024-07-21,2770,3,Tienda,Efectivo,Fiestas Patrias,1,Festiva,2,3,688.23,0.0789,113.06
T010661,2024-12-21,5829,10,Tienda,Efectivo,Navidad,1,Festiva,3,13,5750.93,0.0783,1267.67
T010662,2025-11-30,6026,12,Web,Tarjeta Débito,Black Friday,1,Digital,2,2,2074.98,0.2014,189.88
T010663,2025-06-10,1338,12,Web,Tarjeta Crédito,Día del Padre,1,Familiar,3,4,7978.11,0.1135,1128.43
T010664,2023-08-21,9387,1,Tienda,Tarjeta Débito,Normal,0,Regular,4,7,990.09,0.0625,281.37
T010665,2024-12-20,13472,4,Tienda,Tarjeta Crédito,Navidad,1,Festiva,2,3,3827.29,0.1285,846.21
T010666,2025-06-01,12051,12,Web,,Normal,0,Regular,3,10,3416.99,0.0484,973.69
T010667,2025-11-25,9558,12,Web,Plin,Black Friday,1,Digital,3,7,909.54,0.2221,169.99
T010668,2023-06-03,9569,12,Web,Yape,Normal,0,Regular,4,6,2181.9,0.0534,359.53
T010669,2024-07-16,8251,3,Tienda,Tarjeta Débito,Cyber Wow Julio,1,Digital,1,2,3512.06,0.1275,470.08
T010670,2024-12-29,12239,11,Tienda,Tarjeta Crédito,Navidad,1,Festiva,6,20,5645.27,0.0862,1118.61
T010671,2023-12-04,10863,1,Tienda,Efectivo,Navidad,1,Festiva,1,2,2910.65,0.1323,561.79
T010672,2023-05-04,1038,2,Tienda,Tarjeta Débito,Día de la Madre,1,Familiar,2,5,408.93,0.0792,82.36
T010673,2025-03-22,12323,8,Tienda,Tarjeta Débito,Campaña Escolar,1,Escolar,4,9,2488.38,0.0968,625.14
T010674,2025-08-04,11189,12,Web,Tarjeta Débito,Normal,0,Regular,1,1,54.03,0.0214,11.68
T010675,2025-01-15,133,12,App,Tarjeta Crédito,Normal,0,Regular,1,2,458.59,0.0573,158.77
T010676,2024-05-26,962,12,Web,Tarjeta Débito,Normal,0,Regular,4,5,1539.8,0.0672,323.14
T010677,2024-01-12,1429,12,App,Plin,Normal,0,Regular,2,4,597.97,0.0644,74.18
T010678,2025-01-03,423,12,Web,Tarjeta Débito,Normal,0,Regular,1,1,350.89,0.0711,78.01
T010679,2025-02-08,13744,12,Web,Tarjeta Crédito,Campaña Escolar,1,Escolar,3,5,918.87,0.0596,283.45
T010680,2024-01-15,13238,12,Web,Tarjeta Débito,Normal,0,Regular,5,9,5517.25,0.0779,1186.39
T010681,2024-10-26,14716,12,Web,Tarjeta Crédito,Normal,0,Regular,1,2,2216.42,0.1165,709.2
T010682,2023-07-04,2467,6,Tienda,Tarjeta Débito,Fiestas Patrias,1,Festiva,5,20,3472.07,0.071,953.63
T010683,2025-09-18,11529,3,Tienda,Tarjeta Débito,Normal,0,Regular,3,13,3219.52,0.0231,1063.09
T010684,2024-07-04,3958,1,Tienda,Tarjeta Débito,Fiestas Patrias,1,Festiva,5,18,1932.45,0.0758,403.18
T010685,2023-03-05,14466,12,App,Yape,Campaña Escolar,1,Escolar,1,1,105.0,0.0904,11.76
T010686,2024-12-19,8464,8,Tienda,Tarjeta Débito,Navidad,1,Festiva,3,9,2434.38,0.1278,301.21
T010687,2025-11-27,11440,12,Web,Tarjeta Débito,Black Friday,1,Digital,1,2,579.86,0.2068,10.6
T010688,2024-07-25,11121,9,Tienda,Efectivo,Fiestas Patrias,1,Festiva,2,2,306.24,0.0898,62.24
T010689,2023-12-14,793,11,Tienda,Tarjeta Crédito,Navidad,1,Festiva,5,13,6962.39,0.0727,964.88
T010690,2025-04-21,7659,12,Web,Tarjeta Débito,Cyber Wow Abril,1,Digital,5,10,14383.03,0.2234,976.33
T010691,2024-02-01,3742,7,Tienda,Efectivo,Campaña Escolar,1,Escolar,4,9,3489.56,0.094,1095.38
T010692,2024-08-02,13148,1,Tienda,Efectivo,Normal,0,Regular,1,2,83.78,0.0274,28.18
T010693,2024-04-24,12629,12,Web,Plin,Normal,0,Regular,3,7,2895.03,0.0529,456.01
T010694,2023-07-15,14764,6,Tienda,Tarjeta Débito,Cyber Wow Julio,1,Digital,1,3,1143.55,0.1402,277.57
T010695,2023-11-27,13896,12,App,Yape,Black Friday,1,Digital,4,12,4463.48,0.2069,750.17
T010696,2024-07-14,4287,12,Web,Tarjeta Crédito,Cyber Wow Julio,1,Digital,1,1,216.86,0.1994,35.69
T010697,2023-03-20,8374,12,Web,Plin,Campaña Escolar,1,Escolar,5,14,7468.76,0.0803,1571.61
T010698,2024-02-27,5602,2,Tienda,Yape,Campaña Escolar,1,Escolar,3,11,901.36,0.0592,263.45
T010699,2023-03-14,3314,11,Tienda,Tarjeta Débito,Campaña Escolar,1,Escolar,4,7,2552.86,0.0872,589.57
T010700,2025-01-13,12406,3,Tienda,Efectivo,Normal,0,Regular,1,2,20.13,0.0453,3.81
T010701,2023-06-24,8553,10,Tienda,Efectivo,Normal,0,Regular,5,11,4232.89,0.0712,1223.62
T010702,2024-09-01,10803,2,Tienda,Efectivo,Normal,0,Regular,6,14,3252.85,0.0496,921.28
T010703,2023-12-26,10597,2,Tienda,Efectivo,Navidad,1,Festiva,4,10,11206.86,0.1002,1837.47
T010704,2023-05-08,9534,12,Web,,Día de la Madre,1,Familiar,3,10,1060.11,0.1125,307.05
T010705,2025-12-08,8672,10,Tienda,Yape,Navidad,1,Festiva,3,4,1347.34,0.0867,175.46
T010706,2024-07-04,7721,12,Web,Tarjeta Crédito,Fiestas Patrias,1,Festiva,4,13,871.6,0.0761,171.04
T010707,2024-12-10,7916,12,App,Tarjeta Débito,Navidad,1,Festiva,2,10,190.49,0.097,34.0
T010708,2024-06-16,14789,11,Tienda,Efectivo,Día del Padre,1,Familiar,6,16,10849.32,0.0768,3408.31
T010709,2024-03-27,1187,5,Tienda,Efectivo,Campaña Escolar,1,Escolar,3,7,1310.09,0.0789,304.28
T010710,2023-12-06,3529,12,Web,Tarjeta Crédito,Navidad,1,Festiva,4,19,3855.59,0.1334,774.84
T010711,2025-12-23,3755,2,Tienda,Efectivo,Navidad,1,Festiva,5,12,4177.89,0.0998,997.88
T010712,2023-07-25,14328,1,Tienda,Yape,Fiestas Patrias,1,Festiva,3,10,3612.2,0.0819,765.56
T010713,2025-11-28,11078,12,App,Yape,Black Friday,1,Digital,4,10,5029.63,0.2319,1010.58
T010714,2025-10-18,2386,12,Web,Tarjeta Crédito,Normal,0,Regular,3,4,2446.72,0.1373,496.64
T010715,2023-07-08,1897,11,Tienda,Efectivo,Fiestas Patrias,1,Festiva,2,4,2023.07,0.1141,509.38
T010716,2023-03-03,12885,7,Tienda,Tarjeta Crédito,Campaña Escolar,1,Escolar,3,4,982.58,0.0679,242.87
T010717,2025-12-07,7013,12,Web,Yape,Navidad,1,Festiva,3,8,3846.12,0.0936,991.84
T010718,2025-06-03,13224,1,Tienda,Tarjeta Crédito,Normal,0,Regular,1,2,733.75,0.1645,185.87
T010719,2024-12-07,9208,2,Tienda,Tarjeta Débito,Navidad,1,Festiva,1,1,151.2,0.1176,27.31
T010720,2025-12-29,6788,12,Web,Tarjeta Crédito,Navidad,1,Festiva,1,1,435.94,0.1218,75.75
T010721,2025-09-11,4034,12,App,Yape,Normal,0,Regular,3,20,789.85,0.0607,173.97
T010722,2024-05-20,5797,1,Tienda,Yape,Normal,0,Regular,2,9,528.39,0.0228,179.91
T010723,2025-12-12,12448,8,Tienda,Tarjeta Débito,Navidad,1,Festiva,4,6,6080.22,0.0842,1430.55
T010724,2024-07-16,6463,4,Tienda,Tarjeta Débito,Cyber Wow Julio,1,Digital,2,4,796.51,0.1336,141.33
T010725,2023-12-30,10085,3,Tienda,Tarjeta Débito,Navidad,1,Festiva,1,1,41.22,0.0872,11.16
T010726,2023-12-24,10758,12,Web,Tarjeta Débito,Navidad,1,Festiva,2,12,6006.82,0.1178,973.9
T010727,2024-07-20,9368,1,Tienda,Efectivo,Fiestas Patrias,1,Festiva,3,7,1400.61,0.092,202.36
T010728,2024-02-08,9704,3,Tienda,Tarjeta Débito,Campaña Escolar,1,Escolar,2,3,1351.12,0.059,291.62
T010729,2023-11-25,4296,9,Tienda,Plin,Black Friday,1,Digital,3,12,496.79,0.1475,60.2
T010730,2025-01-01,6450,1,Tienda,Plin,Normal,0,Regular,2,2,336.53,0.1068,45.79
T010731,2024-07-23,6406,1,Tienda,Tarjeta Débito,Fiestas Patrias,1,Festiva,1,1,348.77,0.0629,46.0
T010732,2025-07-16,7076,2,Tienda,Tarjeta Crédito,Cyber Wow Julio,1,Digital,3,5,10381.31,0.139,2130.98
T010733,2024-05-07,138,12,App,Transferencia,Día de la Madre,1,Familiar,1,5,6451.41,0.1875,1139.46
T010734,2025-06-23,7091,12,Web,Tarjeta Crédito,Normal,0,Regular,2,2,745.92,0.0676,162.12
T010735,2024-12-08,4723,12,App,Tarjeta Crédito,Navidad,1,Festiva,1,4,23.63,0.1387,5.99
T010736,2023-12-18,8866,7,Tienda,Efectivo,Navidad,1,Festiva,4,9,5591.29,0.1013,1107.81
T010737,2023-01-12,9797,7,Tienda,Tarjeta Crédito,Normal,0,Regular,1,2,1549.54,0.0828,323.86
T010738,2025-05-23,10956,12,App,Yape,Normal,0,Regular,1,1,37.5,0.0579,13.67
T010739,2024-04-28,6246,1,Tienda,Tarjeta Crédito,Normal,0,Regular,3,11,5645.94,0.0746,1665.4
T010740,2025-11-25,3783,12,Web,Tarjeta Crédito,Black Friday,1,Digital,1,5,261.87,0.2612,-2.88
T010741,2023-10-03,896,4,Tienda,Efectivo,Normal,0,Regular,2,4,1717.95,0.0814,488.3
T010742,2024-06-13,8132,11,Tienda,Efectivo,Día del Padre,1,Familiar,4,9,1086.74,0.0795,213.15
T010743,2025-08-04,1240,1,Tienda,Tarjeta Débito,Normal,0,Regular,1,1,2708.41,0.0476,743.64
T010744,2025-07-09,959,12,App,Tarjeta Débito,Fiestas Patrias,1,Festiva,1,1,2849.66,0.1389,757.0
T010745,2023-11-17,266,2,Tienda,Tarjeta Débito,Normal,0,Regular,4,9,4263.38,0.0565,1251.6
T010746,2024-12-08,11553,2,Tienda,Efectivo,Navidad,1,Festiva,2,2,196.32,0.1333,52.46
T010747,2025-07-19,8021,12,Web,Tarjeta Crédito,Fiestas Patrias,1,Festiva,1,4,157.79,0.0648,28.39
T010748,2024-03-31,10790,6,Tienda,Tarjeta Crédito,Campaña Escolar,1,Escolar,4,13,371.65,0.0548,82.19
T010749,2025-12-13,5943,12,Web,Yape,Navidad,1,Festiva,1,1,252.99,0.1328,21.09
T010750,2024-06-11,4596,4,Tienda,Plin,Día del Padre,1,Familiar,2,2,917.12,0.1144,225.83
T010751,2025-03-25,6930,7,Tienda,Tarjeta Crédito,Campaña Escolar,1,Escolar,5,10,5244.66,0.0586,1287.72
T010752,2025-05-16,1813,10,Tienda,Efectivo,Normal,0,Regular,3,7,1647.19,0.0637,313.99
T010753,2025-01-22,7208,12,App,Tarjeta Débito,Normal,0,Regular,6,16,1759.94,0.0761,499.11
T010754,2023-05-12,13447,11,Tienda,Tarjeta Crédito,Día de la Madre,1,Familiar,2,10,898.7,0.0799,151.26
T010755,2025-05-05,10487,12,Web,Tarjeta Crédito,Día de la Madre,1,Familiar,1,1,155.34,0.0708,31.81
T010756,2023-12-16,8111,12,App,Tarjeta Débito,Navidad,1,Festiva,1,1,64.39,0.0806,15.64
T010757,2023-03-02,5412,12,Web,Yape,Campaña Escolar,1,Escolar,3,8,741.63,0.1251,148.71
T010758,2023-07-24,6030,4,Tienda,Tarjeta Crédito,Fiestas Patrias,1,Festiva,2,3,102.34,0.0816,28.37
T010759,2023-02-21,9888,12,Web,Yape,Campaña Escolar,1,Escolar,5,12,13881.66,0.0865,3362.63
T010760,2025-12-12,13546,1,Tienda,Efectivo,Navidad,1,Festiva,3,6,691.24,0.0603,181.39
T010761,2023-02-07,1550,12,App,Tarjeta Débito,Campaña Escolar,1,Escolar,6,10,6866.43,0.0813,1548.83
T010762,2024-12-02,14385,1,Tienda,Tarjeta Débito,Navidad,1,Festiva,2,5,4775.27,0.1048,804.52
T010763,2023-12-15,2969,9,Tienda,Tarjeta Crédito,Navidad,1,Festiva,1,1,573.24,0.2003,117.7
T010764,2025-12-29,1038,12,App,Tarjeta Débito,Navidad,1,Festiva,4,12,3843.17,0.1278,504.44
T010765,2024-12-06,1377,8,Tienda,Tarjeta Débito,Navidad,1,Festiva,2,2,789.8,0.0662,236.17
T010766,2024-11-26,12061,12,Web,Tarjeta Crédito,Black Friday,1,Digital,2,10,287.31,0.2005,45.03
T010767,2025-07-11,8796,12,App,Tarjeta Débito,Fiestas Patrias,1,Festiva,3,12,443.44,0.1299,106.73
T010768,2025-05-10,4378,7,Tienda,Tarjeta Débito,Día de la Madre,1,Familiar,3,10,2226.73,0.2147,158.16
T010769,2024-11-26,50,1,Tienda,Tarjeta Débito,Black Friday,1,Digital,2,3,1398.83,0.18,300.8
T010770,2023-06-07,10903,11,Tienda,Efectivo,Normal,0,Regular,2,2,1598.63,0.0866,422.71
T010771,2024-07-06,12422,2,Tienda,Tarjeta Crédito,Fiestas Patrias,1,Festiva,3,5,397.53,0.0666,102.7
T010772,2025-02-16,10952,3,Tienda,Efectivo,Campaña Escolar,1,Escolar,4,24,8987.67,0.0949,2448.09
T010773,2023-09-26,1405,12,Web,Yape,Normal,0,Regular,6,13,3053.98,0.071,844.41
T010774,2023-11-27,6893,3,Tienda,Efectivo,Black Friday,1,Digital,1,3,101.11,0.1193,13.54
T010775,2023-08-26,12654,3,Tienda,Tarjeta Débito,Normal,0,Regular,1,1,1645.97,0.0724,304.68
T010776,2023-05-10,12727,9,Tienda,Tarjeta Crédito,Día de la Madre,1,Familiar,2,6,626.32,0.0854,190.12
T010777,2025-12-27,5105,1,Tienda,Tarjeta Débito,Navidad,1,Festiva,1,3,794.59,0.1067,98.89
T010778,2025-12-13,12079,2,Tienda,Tarjeta Crédito,Navidad,1,Festiva,4,12,530.92,0.124,104.02
T010779,2023-11-25,11597,12,App,Tarjeta Crédito,Black Friday,1,Digital,4,19,10990.24,0.2466,821.27
T010780,2025-08-16,12542,12,Web,Transferencia,Normal,0,Regular,3,6,342.18,0.0635,99.37
T010781,2025-05-29,12398,12,Web,Tarjeta Débito,Normal,0,Regular,2,9,2131.04,0.0549,681.64
T010782,2025-05-18,6895,12,App,Yape,Normal,0,Regular,5,15,6328.81,0.0679,1885.18
T010783,2023-12-19,8480,3,Tienda,Tarjeta Crédito,Navidad,1,Festiva,2,5,3568.16,0.0836,855.49
T010784,2023-08-25,9306,12,App,Tarjeta Crédito,Normal,0,Regular,1,4,71.0,0.0338,15.64
T010785,2023-05-14,781,12,Web,Tarjeta Crédito,Día de la Madre,1,Familiar,2,6,471.22,0.0917,131.53
T010786,2023-02-06,13217,2,Tienda,Tarjeta Crédito,Campaña Escolar,1,Escolar,1,3,184.92,0.0296,39.33
T010787,2025-09-22,9424,12,App,Tarjeta Débito,Normal,0,Regular,2,3,1879.67,0.1214,468.12
T010788,2024-07-06,6650,9,Tienda,Efectivo,Fiestas Patrias,1,Festiva,2,7,130.44,0.0496,37.18
T010789,2024-08-16,9030,12,Web,Tarjeta Crédito,Normal,0,Regular,1,2,143.58,0.1004,27.54
T010790,2025-11-18,8304,12,App,Tarjeta Crédito,Normal,0,Regular,2,3,933.23,0.069,272.45
T010791,2025-05-10,872,2,Tienda,,Día de la Madre,1,Familiar,5,10,4188.53,0.1002,997.04
T010792,2025-10-12,8351,3,Tienda,Tarjeta Crédito,Normal,0,Regular,3,4,612.74,0.042,130.69
T010793,2024-12-07,8699,12,Web,Tarjeta Crédito,Navidad,1,Festiva,2,6,1113.93,0.1063,249.27
T010794,2023-07-27,12873,12,Web,Tarjeta Débito,Fiestas Patrias,1,Festiva,4,9,2641.44,0.0774,645.89
T010795,2023-07-29,14623,12,Web,Tarjeta Crédito,Fiestas Patrias,1,Festiva,4,6,1965.58,0.0826,292.52
T010796,2024-12-08,3692,7,Tienda,Efectivo,Navidad,1,Festiva,2,4,1988.51,0.0812,410.95
T010797,2025-06-16,772,3,Tienda,Tarjeta Crédito,Día del Padre,1,Familiar,1,1,485.14,0.0772,99.46
T010798,2023-02-03,4605,11,Tienda,Tarjeta Crédito,Campaña Escolar,1,Escolar,3,8,4285.54,0.0742,1181.83
T010799,2024-03-06,3214,12,Web,Transferencia,Campaña Escolar,1,Escolar,3,4,5199.63,0.0759,1405.95
T010800,2025-02-03,928,1,Tienda,Tarjeta Débito,Campaña Escolar,1,Escolar,1,1,983.34,0.1913,151.74
T010801,2024-04-06,11369,12,App,Transferencia,Normal,0,Regular,1,1,4723.34,0.1006,883.55
T010802,2023-10-29,10562,12,Web,Tarjeta Débito,Normal,0,Regular,2,4,1141.56,0.1,294.54
T010803,2023-07-13,6432,7,Tienda,Tarjeta Débito,Cyber Wow Julio,1,Digital,3,8,1065.02,0.1161,207.04
T010804,2024-11-27,1879,10,Tienda,Tarjeta Crédito,Black Friday,1,Digital,1,1,145.66,0.121,46.31
T010805,2023-08-23,3733,12,Web,Tarjeta Crédito,Normal,0,Regular,3,4,2105.6,0.0824,422.26
T010806,2023-03-01,2531,12,Web,Tarjeta Crédito,Campaña Escolar,1,Escolar,3,4,2709.6,0.0953,564.9
T010807,2024-02-10,13174,12,Web,Transferencia,Campaña Escolar,1,Escolar,3,3,5321.71,0.0916,1083.25
T010808,2025-12-26,13400,3,Tienda,Yape,Navidad,1,Festiva,2,7,1138.45,0.0924,278.11
T010809,2024-08-05,10785,12,Web,Tarjeta Crédito,Normal,0,Regular,3,5,3532.34,0.0727,702.54
T010810,2024-01-10,14497,2,Tienda,Tarjeta Crédito,Normal,0,Regular,5,16,6463.54,0.0535,1628.32
T010811,2024-12-24,6957,10,Tienda,Tarjeta Débito,Navidad,1,Festiva,2,4,1235.37,0.1294,269.04
T010812,2025-12-04,4397,12,App,Transferencia,Navidad,1,Festiva,3,6,2399.75,0.1114,352.99
T010813,2023-01-31,2911,1,Tienda,Plin,Normal,0,Regular,5,12,2238.63,0.0673,676.22
T010814,2023-10-23,4463,9,Tienda,Efectivo,Normal,0,Regular,6,13,352.11,0.0412,96.86
T010815,2025-04-10,6672,12,App,Yape,Normal,0,Regular,2,8,1668.46,0.1001,476.06
T010816,2023-12-11,12480,10,Tienda,Tarjeta Crédito,Navidad,1,Festiva,4,11,753.72,0.0887,129.82
T010817,2024-12-14,11763,12,App,Yape,Navidad,1,Festiva,4,9,462.25,0.1202,112.26
T010818,2023-07-04,811,2,Tienda,Tarjeta Débito,Fiestas Patrias,1,Festiva,4,10,514.89,0.0641,165.43
T010819,2025-09-29,13403,12,Web,Tarjeta Débito,Normal,0,Regular,2,5,5376.25,0.1062,1328.43
T010820,2023-12-01,10445,12,App,Tarjeta Crédito,Navidad,1,Festiva,3,4,3141.68,0.1112,979.25
